uav_id,arrival,assembly_complete,upper_complete,lower_complete,wait_time,approach_start,landing_start,landing_complete
1,2.0870772776815945,3.0870772776815945,4.087077277681594,5.087077277681594,0.0,5.087077277681594,6.087077277681594,7.087077277681594
2,3.67089237744598,4.6708923774459805,5.6708923774459805,6.6708923774459805,0.0,6.6708923774459805,7.6708923774459805,8.67089237744598
3,9.591312343986734,10.591312343986734,11.591312343986734,12.591312343986734,0.0,12.591312343986734,13.591312343986734,14.591312343986734
4,12.85920240663108,13.85920240663108,14.85920240663108,15.85920240663108,0.7321099373556539,16.591312343986736,17.591312343986736,18.591312343986736
5,14.847755613328319,15.847755613328319,16.847755613328317,17.847755613328317,0.0,17.847755613328317,18.847755613328317,19.847755613328317
6,15.828682373151564,16.828682373151565,17.828682373151565,18.828682373151565,1.762629970835171,20.591312343986736,21.591312343986736,22.591312343986736
7,16.167186670428038,17.167186670428038,18.167186670428038,19.167186670428038,2.0,21.847755613328317,22.847755613328317,23.847755613328317
8,16.375548358139362,17.375548358139362,18.375548358139362,19.375548358139362,2.0,24.591312343986736,25.591312343986736,26.591312343986736
9,17.88990348459542,18.88990348459542,19.88990348459542,20.88990348459542,2.0,25.847755613328317,26.847755613328317,27.847755613328317
10,19.17256123915644,20.17256123915644,21.17256123915644,22.17256123915644,2.0,28.591312343986736,29.591312343986736,30.591312343986736
11,19.257844189043464,20.257844189043464,21.257844189043464,22.257844189043464,2.0,29.847755613328317,30.847755613328317,31.847755613328317
12,25.273472473663343,26.273472473663343,27.273472473663343,28.273472473663343,2.0,32.591312343986736,33.591312343986736,34.591312343986736
13,27.823115821403597,28.823115821403597,29.823115821403597,30.823115821403597,2.0,33.84775561332832,34.84775561332832,35.84775561332832
14,32.18267132484472,33.18267132484472,34.18267132484472,35.18267132484472,1.4086410191420171,36.591312343986736,37.591312343986736,38.591312343986736
15,33.78102656959913,34.78102656959913,35.78102656959913,36.78102656959913,1.0667290437291896,37.84775561332832,38.84775561332832,39.84775561332832
16,34.742254950764455,35.742254950764455,36.742254950764455,37.742254950764455,2.0,40.591312343986736,41.591312343986736,42.591312343986736
17,34.8557113690539,35.8557113690539,36.8557113690539,37.8557113690539,2.0,41.84775561332832,42.84775561332832,43.84775561332832
18,41.32869774287508,42.32869774287508,43.32869774287508,44.32869774287508,1.5190578704532385,45.84775561332832,46.84775561332832,47.84775561332832
19,42.41481310339667,43.41481310339667,44.41481310339667,45.41481310339667,0.4329425099316495,45.84775561332832,46.84775561332832,47.84775561332832
20,43.39864002980097,44.39864002980097,45.39864002980097,46.39864002980097,2.0,49.84775561332832,50.84775561332832,51.84775561332832
21,46.65636434220809,47.65636434220809,48.65636434220809,49.65636434220809,0.19139127112022436,49.84775561332832,50.84775561332832,51.84775561332832
22,59.55007951238866,60.55007951238866,61.55007951238866,62.55007951238866,0.0,62.55007951238866,63.55007951238866,64.55007951238866
23,60.952028697809524,61.952028697809524,62.952028697809524,63.952028697809524,0.0,63.952028697809524,64.95202869780952,65.95202869780952
24,62.59508248963708,63.59508248963708,64.59508248963708,65.59508248963708,0.9549970227515843,66.55007951238866,67.55007951238866,68.55007951238866
25,70.44585848514224,71.44585848514224,72.44585848514224,73.44585848514224,0.0,73.44585848514224,74.44585848514224,75.44585848514224
26,71.66790516972912,72.66790516972912,73.66790516972912,74.66790516972912,0.0,74.66790516972912,75.66790516972912,76.66790516972912
27,72.7066459316185,73.7066459316185,74.7066459316185,75.7066459316185,1.7392125535237426,77.44585848514224,78.44585848514224,79.44585848514224
28,73.78888792565685,74.78888792565685,75.78888792565685,76.78888792565685,1.8790172440722728,78.66790516972912,79.66790516972912,80.66790516972912
29,80.09600455547373,81.09600455547373,82.09600455547373,83.09600455547373,0.0,83.09600455547373,84.09600455547373,85.09600455547373
30,80.17360353166899,81.17360353166899,82.17360353166899,83.17360353166899,0.0,83.17360353166899,84.17360353166899,85.17360353166899
31,89.19454225652439,90.19454225652439,91.19454225652439,92.19454225652439,0.0,92.19454225652439,93.19454225652439,94.19454225652439
32,91.6095225090043,92.6095225090043,93.6095225090043,94.6095225090043,1.585019747520093,96.19454225652439,97.19454225652439,98.19454225652439
33,99.1318988641552,100.1318988641552,101.1318988641552,102.1318988641552,0.0,102.1318988641552,103.1318988641552,104.1318988641552
34,100.77638445894708,101.77638445894708,102.77638445894708,103.77638445894708,0.0,103.77638445894708,104.77638445894708,105.77638445894708
35,103.56690676349903,104.56690676349903,105.56690676349903,106.56690676349903,1.2094776954480437,107.77638445894708,108.77638445894708,109.77638445894708
36,104.09247677560579,105.09247677560579,106.09247677560579,107.09247677560579,0.6839076833412889,107.77638445894708,108.77638445894708,109.77638445894708
37,105.07051492429292,106.07051492429292,107.07051492429292,108.07051492429292,2.0,111.77638445894708,112.77638445894708,113.77638445894708
38,105.54274919875103,106.54274919875103,107.54274919875103,108.54274919875103,2.0,111.77638445894708,112.77638445894708,113.77638445894708
39,105.57319602809554,106.57319602809554,107.57319602809554,108.57319602809554,2.0,115.77638445894708,116.77638445894708,117.77638445894708
40,111.4869903475831,112.4869903475831,113.4869903475831,114.4869903475831,1.2893941113639755,115.77638445894708,116.77638445894708,117.77638445894708
