UAV_ID,Priority,Total_Time,holding_start,holding_end,descent_start,descent_end,approach_start,approach_end,landing_start,landing_end,taxi_in_start,taxi_in_end,apron_start,apron_end,taxi_out_start,taxi_out_end,takeoff_start,takeoff_end
1,3,26.451500119521206,2.784723194625079,12.216187652124978,12.216187652124978,16.52300809820572,16.52300809820572,20.281470042687275,20.281470042687275,21.89997306775793,21.89997306775793,22.001085146573306,22.001085146573306,28.25430721382542,28.25430721382542,29.16065953413761,29.16065953413761,29.236223314146287
5,2,16.519716084645804,17.162131372355486,23.189628697315403,23.189628697315403,24.566061023231747,24.566061023231747,26.939547683078096,26.939547683078096,28.126556118061643,28.126556118061643,28.56714369622064,28.56714369622064,29.406629434849254,29.406629434849254,32.585591525099865,32.585591525099865,33.68184745700129
3,1,24.974293458180355,10.428708432699155,10.984240877762746,10.984240877762746,12.473198523849742,12.473198523849742,13.29821788625059,13.29821788625059,20.578079873437837,20.578079873437837,20.63688479212533,20.63688479212533,22.302911556425784,22.302911556425784,30.381248414376042,30.381248414376042,35.40300189087951
2,1,41.474263608036324,3.946427393315421,6.289293399136609,6.289293399136609,7.506027232227265,7.506027232227265,7.9943087130980865,7.9943087130980865,12.351097516786647,12.351097516786647,15.256736249372246,15.256736249372246,36.858467565741925,36.858467565741925,39.47616091695807,39.47616091695807,45.42069100135174
7,1,29.09201101061022,23.429396891888473,23.598445102337994,23.598445102337994,23.719063215511056,23.719063215511056,26.379177270377618,26.379177270377618,32.82672060472642,32.82672060472642,32.85291019237285,32.85291019237285,45.19569374026143,45.19569374026143,47.830218967458606,47.830218967458606,52.521407902498694
8,2,28.738563973740355,26.490260031506587,26.738629515563197,26.738629515563197,27.385437227104905,27.385437227104905,28.49097511725466,28.49097511725466,31.919283287013734,31.919283287013734,36.807402545845186,36.807402545845186,40.031247848826254,40.031247848826254,40.78465708950022,40.78465708950022,55.22882400524694
10,2,28.042513715220444,29.17894656498249,29.679422722604635,29.679422722604635,31.529598134361397,31.529598134361397,32.52687158542431,32.52687158542431,38.23978411534937,38.23978411534937,38.8071825177587,38.8071825177587,41.52869966812885,41.52869966812885,42.637950717275736,42.637950717275736,57.22146028020293
9,3,34.490618238919254,27.454596686049182,37.32565361297334,37.32565361297334,40.62737540949374,40.62737540949374,41.85064312835782,41.85064312835782,47.01004888965066,47.01004888965066,48.22663104088482,48.22663104088482,51.68326595051224,51.68326595051224,61.15301170106949,61.15301170106949,61.94521492496844
11,3,35.89049071184172,31.727194099750847,37.163380918608226,37.163380918608226,37.56612082368004,37.56612082368004,42.371663510906075,42.371663510906075,49.344641954876636,49.344641954876636,49.89453485916652,49.89453485916652,52.64033114075239,52.64033114075239,54.977526272551714,54.977526272551714,67.61768481159257
4,1,60.35745342167999,11.298285688067024,11.47643800105006,11.47643800105006,11.781783136518689,11.781783136518689,13.321391059354761,13.321391059354761,24.01826063194847,24.01826063194847,33.17527922269007,33.17527922269007,50.02973087311372,50.02973087311372,50.50824919439569,50.50824919439569,71.65573910974702
6,3,53.31475952112693,20.678100465057895,23.892731797636436,23.892731797636436,29.77227316860845,29.77227316860845,33.787534784257886,33.787534784257886,34.987557280623236,34.987557280623236,37.942891572819406,37.942891572819406,68.20946882423259,68.20946882423259,69.92349582171133,69.92349582171133,73.99285998618483
13,2,32.57060405060357,55.61637654759188,62.826261520812345,62.826261520812345,71.92525663955024,71.92525663955024,73.69009205230988,73.69009205230988,77.09766629312386,77.09766629312386,81.2495304669707,81.2495304669707,85.11035227910313,85.11035227910313,85.7559708162553,85.7559708162553,88.18698059819545
12,2,50.258298756919416,52.827927407426,58.263078760911725,58.263078760911725,58.80994331513382,58.80994331513382,66.85680095435893,66.85680095435893,77.05864899480022,77.05864899480022,81.68284923631417,81.68284923631417,90.06981968269606,90.06981968269606,91.58296196141134,91.58296196141134,103.08622616434542
20,2,32.465731573574985,77.25546926213654,78.90271420851006,78.90271420851006,85.74606774434282,85.74606774434282,88.12481673836278,88.12481673836278,90.34447902245444,90.34447902245444,90.71938441878423,90.71938441878423,98.26756823254384,98.26756823254384,99.43208954578532,99.43208954578532,109.72120083571153
14,2,54.33939258581987,61.42656307047768,62.65374446930993,62.65374446930993,63.65740903293212,63.65740903293212,64.9959455190566,64.9959455190566,81.36501290849748,81.36501290849748,90.81579580615251,90.81579580615251,105.83886932012857,105.83886932012857,106.43872296771926,106.43872296771926,115.76595565629755
24,2,25.205409419703614,91.9185089977052,93.51942261395045,93.51942261395045,95.08637312310839,95.08637312310839,98.13128882961419,98.13128882961419,105.0870658082209,105.0870658082209,110.41957251020435,110.41957251020435,113.34327234192031,113.34327234192031,114.04749930748896,114.04749930748896,117.12391841740882
26,2,22.332073613150115,96.90123350808608,102.63312145819523,102.63312145819523,103.64145514589507,103.64145514589507,104.2558864878289,104.2558864878289,112.43813995600185,112.43813995600185,113.46985676940295,113.46985676940295,114.92885300003533,114.92885300003533,115.64168778677279,115.64168778677279,119.2333071212362
23,2,36.487634405750455,89.72057111147818,90.4343192745534,90.4343192745534,93.22761129853377,93.22761129853377,94.34080308000502,94.34080308000502,111.60895107080178,111.60895107080178,113.51081925087055,113.51081925087055,115.06119894565495,115.06119894565495,117.75314049764314,117.75314049764314,126.20820551722863
16,3,59.11998074435361,67.22130562243096,68.20150906812184,68.20150906812184,71.75131438590182,71.75131438590182,73.26106072789334,73.26106072789334,77.4892271741563,77.4892271741563,78.47262958215175,78.47262958215175,92.78070386504548,92.78070386504548,92.79620973279982,92.79620973279982,126.34128636678457
